Begin,End,Activity,Case,Duration
2023-03-14 10:27:52,2023-03-14 10:28:38,Exploring and assessing the societal need for research and the opportunities for valorisation of that research,BISE special issue on mismatches event data and reality,0 days 00:00:46
2023-03-14 10:28:38,2023-03-14 10:28:59,Proposing events,Tutorial on task support for PM,0 days 00:00:21
2023-03-14 10:28:59,2023-03-14 10:29:14,Exploring and assessing the societal need for research and the opportunities for valorisation of that research,BISE special issue on mismatches event data and reality,0 days 00:00:15
2023-03-14 10:29:14,2023-03-14 10:29:26,Proposing events,Tutorial on task support for PM,0 days 00:00:12
2023-03-14 10:29:29,2023-03-14 10:29:32,Organizing practical aspects of events,ECIS conference 2023,0 days 00:00:03
2023-03-14 10:29:32,2023-03-14 10:30:17,Proposing events,Tutorial on task support for PM,0 days 00:00:45
2023-03-14 10:30:17,2023-03-14 10:31:35,Exploring and assessing the societal need for research and the opportunities for valorisation of that research,BISE special issue on mismatches event data and reality,0 days 00:01:18
2023-03-14 10:31:47,2023-03-14 10:31:56,Organizing practical aspects of events,ECIS conference 2023,0 days 00:00:09
2023-03-14 10:32:02,2023-03-14 10:32:23,Exploring and assessing the societal need for research and the opportunities for valorisation of that research,BISE special issue on mismatches event data and reality,0 days 00:00:21
2023-03-14 10:32:23,2023-03-14 10:32:29,Organizing practical aspects of events,ECIS conference 2023,0 days 00:00:06
2023-03-14 10:32:35,2023-03-14 10:32:41,Exploring and assessing the societal need for research and the opportunities for valorisation of that research,BISE special issue on mismatches event data and reality,0 days 00:00:06
2023-03-14 10:32:47,2023-03-14 10:33:26,Exploring and assessing the societal need for research and the opportunities for valorisation of that research,BISE special issue on mismatches event data and reality,0 days 00:00:39
2023-03-14 10:33:41,2023-03-14 10:33:53,Exploring and assessing the societal need for research and the opportunities for valorisation of that research,BISE special issue on mismatches event data and reality,0 days 00:00:12
2023-03-14 10:34:03,2023-03-14 10:34:08,Organizing practical aspects of events,ECIS conference 2023,0 days 00:00:05
2023-03-14 10:34:08,2023-03-14 10:34:18,Proposing events,Tutorial on task support for PM,0 days 00:00:10
2023-03-14 10:34:42,2023-03-14 10:47:19,Proposing events,Tutorial on task support for PM,0 days 00:12:37
2023-03-14 10:49:47,2023-03-14 10:53:41,Proposing events,Tutorial on task support for PM,0 days 00:03:54
2023-03-14 10:59:45,2023-03-14 10:59:48,Proposing events,Tutorial on task support for PM,0 days 00:00:03
"2023-03-14 10:59:48,2023-03-14 11:00:51,""Discussing the structure, provision and progress of the assignment with students"",***name31***,0 days 00:01:03"
"2023-03-14 11:00:54,2023-03-14 11:02:04,""Discussing the structure, provision and progress of the assignment with students"",***name31***,0 days 00:01:10"
"2023-03-14 11:09:08,2023-03-14 11:20:34,""Discussing the structure, provision and progress of the assignment with students"",***name31***,0 days 00:11:26"
2023-03-14 11:20:34,2023-03-14 11:21:43,Drafting conference papers and giving lectures at conferences,Active Window Tracking,0 days 00:01:09
2023-03-14 11:21:46,2023-03-14 11:24:22,Proposing events,Tutorial on task support for PM,0 days 00:02:36
2023-03-14 11:24:28,2023-03-14 11:28:35,Proposing events,Tutorial on task support for PM,0 days 00:04:07
2023-03-14 11:30:44,2023-03-14 11:35:54,Proposing events,Tutorial on task support for PM,0 days 00:05:10
2023-03-14 11:36:03,2023-03-14 11:36:33,Proposing events,Tutorial on task support for PM,0 days 00:00:30
2023-03-14 11:37:09,2023-03-14 11:38:54,Proposing events,Tutorial on task support for PM,0 days 00:01:45
2023-03-14 11:39:40,2023-03-14 11:46:56,Proposing events,Tutorial on task support for PM,0 days 00:07:16
2023-03-14 11:54:26,2023-03-14 12:01:57,Proposing events,Tutorial on task support for PM,0 days 00:07:31
2023-03-14 12:02:27,2023-03-14 12:04:03,Communicating about events,Girls Club WIN,0 days 00:01:36
2023-03-14 12:04:03,2023-03-14 12:16:14,Proposing events,Tutorial on task support for PM,0 days 00:12:11
2023-03-14 12:16:26,2023-03-14 12:26:00,Proposing events,Tutorial on task support for PM,0 days 00:09:34
2023-03-14 12:26:24,2023-03-14 12:28:12,Proposing events,Tutorial on task support for PM,0 days 00:01:48
2023-03-14 12:28:12,2023-03-14 12:28:37,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:00:25
2023-03-14 12:28:37,2023-03-14 12:29:19,Proposing events,Tutorial on task support for PM,0 days 00:00:42
2023-03-14 12:31:34,2023-03-14 12:31:40,Proposing events,Tutorial on task support for PM,0 days 00:00:06
2023-03-14 12:41:39,2023-03-14 12:42:39,Communicating about events,BPM conference 2023,0 days 00:01:00
2023-03-14 12:44:09,2023-03-14 12:44:18,Communicating about events,BPM conference 2023,0 days 00:00:09
2023-03-14 12:44:45,2023-03-14 12:44:57,Exploring and assessing the societal need for research and the opportunities for valorisation of that research,BISE special issue on mismatches event data and reality,0 days 00:00:12
2023-03-14 12:45:21,2023-03-14 12:47:10,Communicating about events,BPM conference 2023,0 days 00:01:49
2023-03-14 12:47:16,2023-03-14 12:47:31,Communicating about events,BPM conference 2023,0 days 00:00:15
2023-03-14 12:54:14,2023-03-14 12:54:32,Exploring and assessing the societal need for research and the opportunities for valorisation of that research,BISE special issue on mismatches event data and reality,0 days 00:00:18
2023-03-14 12:56:44,2023-03-14 12:56:53,Communicating about events,BPM conference 2023,0 days 00:00:09
2023-03-14 12:57:26,2023-03-14 13:00:51,Communicating about events,BPM conference 2023,0 days 00:03:25
2023-03-14 13:06:57,2023-03-14 13:18:29,Communicating about events,BPM conference 2023,0 days 00:11:32
2023-03-14 13:27:16,2023-03-14 13:28:19,Communicating about events,BPM conference 2023,0 days 00:01:03
2023-03-14 13:28:55,2023-03-14 13:28:58,Organizing national and international travelling,Brainstorm 15-3-2023,0 days 00:00:03
2023-03-14 13:29:13,2023-03-14 13:29:16,Organizing national and international travelling,Brainstorm 15-3-2023,0 days 00:00:03
2023-03-14 13:29:16,2023-03-14 13:29:52,Exploring and assessing the societal need for research and the opportunities for valorisation of that research,BISE special issue on mismatches event data and reality,0 days 00:00:36
2023-03-14 13:29:52,2023-03-14 13:31:04,Organizing national and international travelling,Brainstorm 15-3-2023,0 days 00:01:12
2023-03-14 13:31:19,2023-03-14 13:32:04,Organizing national and international travelling,Brainstorm 15-3-2023,0 days 00:00:45
2023-03-14 13:32:04,2023-03-14 13:32:19,Communicating about events,BPM conference 2023,0 days 00:00:15
2023-03-14 13:32:26,2023-03-14 13:32:49,Communicating about events,BPM conference 2023,0 days 00:00:23
2023-03-14 13:33:07,2023-03-14 13:33:10,Communicating about events,BPM conference 2023,0 days 00:00:03
2023-03-14 13:39:12,2023-03-14 13:39:57,Communicating about events,BPM conference 2023,0 days 00:00:45
2023-03-14 13:40:00,2023-03-14 13:40:06,Communicating about events,BPM conference 2023,0 days 00:00:06
2023-03-14 13:40:09,2023-03-14 13:41:09,Communicating about events,BPM conference 2023,0 days 00:01:00
2023-03-14 13:41:45,2023-03-14 13:43:36,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:01:51
2023-03-14 13:49:31,2023-03-14 13:50:08,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:00:37
2023-03-14 13:50:11,2023-03-14 13:50:32,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:00:21
2023-03-14 13:52:05,2023-03-14 13:56:12,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:04:07
2023-03-14 13:56:24,2023-03-14 14:06:16,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:09:52
2023-03-14 14:06:22,2023-03-14 14:31:56,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:25:34
"2023-03-14 14:32:08,2023-03-14 14:32:39,""Discussing the structure, provision and progress of the assignment with students"",***name12***,0 days 00:00:31"
2023-03-14 14:33:57,2023-03-14 14:41:31,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:07:34
"2023-03-14 14:47:26,2023-03-14 14:47:32,""Discussing the structure, provision and progress of the assignment with students"",***name12***,0 days 00:00:06"
2023-03-14 14:47:32,2023-03-14 14:48:56,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:01:24
"2023-03-14 14:48:56,2023-03-14 14:49:02,""Discussing the structure, provision and progress of the assignment with students"",***name12***,0 days 00:00:06"
2023-03-14 14:50:08,2023-03-14 14:50:35,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:00:27
"2023-03-14 14:50:35,2023-03-14 14:52:54,""Discussing the structure, provision and progress of the assignment with students"",***name12***,0 days 00:02:19"
"2023-03-14 14:53:48,2023-03-14 14:54:06,""Discussing the structure, provision and progress of the assignment with students"",***name12***,0 days 00:00:18"
2023-03-14 14:56:51,2023-03-14 14:59:01,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:02:10
"2023-03-14 14:59:04,2023-03-14 15:01:37,""Discussing the structure, provision and progress of the assignment with students"",***name12***,0 days 00:02:33"
"2023-03-14 15:06:40,2023-03-14 15:09:10,""Discussing the structure, provision and progress of the assignment with students"",***name12***,0 days 00:02:30"
"2023-03-14 15:09:40,2023-03-14 15:09:55,""Discussing the structure, provision and progress of the assignment with students"",***name12***,0 days 00:00:15"
2023-03-14 15:09:58,2023-03-14 15:11:04,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:01:06
2023-03-14 15:11:31,2023-03-14 15:12:43,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:01:12
2023-03-14 15:13:04,2023-03-14 15:17:05,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:04:01
2023-03-14 15:28:52,2023-03-14 15:34:17,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:05:25
2023-03-14 15:36:59,2023-03-14 15:37:02,Communicating about events,BPM conference 2023,0 days 00:00:03
2023-03-14 15:37:54,2023-03-14 15:38:00,Communicating about events,BPM conference 2023,0 days 00:00:06
2023-03-14 15:38:06,2023-03-14 15:39:27,Communicating about events,BPM conference 2023,0 days 00:01:21
2023-03-14 15:39:33,2023-03-14 15:42:36,Communicating about events,BPM conference 2023,0 days 00:03:03
2023-03-14 15:42:39,2023-03-14 15:42:42,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:00:03
2023-03-14 15:43:03,2023-03-14 15:43:09,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:00:06
2023-03-14 15:43:18,2023-03-14 15:45:10,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:01:52
2023-03-14 15:57:18,2023-03-14 15:57:21,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:00:03
2023-03-14 15:57:33,2023-03-14 15:57:51,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:00:18
2023-03-14 15:59:00,2023-03-14 15:59:03,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:00:03
2023-03-14 15:59:18,2023-03-14 16:01:24,Supervising and discussing the progress of the partial or completed research with PhD candidates,***name9***,0 days 00:02:06
2023-03-14 16:04:00,2023-03-14 16:04:21,Supervising and discussing the progress of the partial or completed research with PhD candidates,***name9***,0 days 00:00:21
"2023-03-14 16:04:24,2023-03-14 16:04:30,""Discussing the structure, provision and progress of the assignment with students"",***name12***,0 days 00:00:06"
2023-03-14 16:04:36,2023-03-14 16:06:09,Supervising and discussing the progress of the partial or completed research with PhD candidates,***name9***,0 days 00:01:33
2023-03-14 16:07:27,2023-03-14 16:08:33,Supervising and discussing the progress of the partial or completed research with PhD candidates,***name9***,0 days 00:01:06
2023-03-14 16:09:52,2023-03-14 16:09:55,Supervising and discussing the progress of the partial or completed research with PhD candidates,***name9***,0 days 00:00:03
2023-03-14 16:14:22,2023-03-14 16:15:25,Supervising and discussing the progress of the partial or completed research with PhD candidates,***name9***,0 days 00:01:03
2023-03-14 16:24:28,2023-03-14 16:25:31,Supervising and discussing the progress of the partial or completed research with PhD candidates,***name9***,0 days 00:01:03
2023-03-14 16:45:21,2023-03-14 16:45:24,Supervising and discussing the progress of the partial or completed research with PhD candidates,***name9***,0 days 00:00:03
2023-03-14 16:56:52,2023-03-14 16:57:19,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:00:27
2023-03-14 17:00:14,2023-03-14 17:01:44,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:01:30
"2023-03-14 17:05:06,2023-03-14 17:09:06,""Preparing and providing teaching sessions for students, providing prospective students with information"",BPM course,0 days 00:04:00"
2023-03-14 17:09:06,2023-03-14 17:09:13,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:00:07
2023-03-14 17:12:58,2023-03-14 17:13:07,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:00:09
"2023-03-14 17:13:19,2023-03-14 17:13:25,""Preparing and providing teaching sessions for students, providing prospective students with information"",BPM course,0 days 00:00:06"
2023-03-14 17:13:28,2023-03-14 17:16:41,Communicating to students about the teaching material and assessment,BPM course,0 days 00:03:13
2023-03-14 17:17:20,2023-03-14 17:17:56,Communicating to students about the teaching material and assessment,BPM course,0 days 00:00:36
2023-03-14 17:18:14,2023-03-14 17:18:53,Communicating to students about the teaching material and assessment,BPM course,0 days 00:00:39
2023-03-14 17:20:11,2023-03-14 17:20:26,Communicating to students about the teaching material and assessment,BPM course,0 days 00:00:15
2023-03-14 17:20:39,2023-03-14 17:22:51,Communicating to students about the teaching material and assessment,BPM course,0 days 00:02:12
2023-03-14 17:22:57,2023-03-14 17:35:11,Planning teaching activities,BPM course,0 days 00:12:14
2023-03-14 17:35:44,2023-03-14 17:37:11,Planning teaching activities,BPM course,0 days 00:01:27
2023-03-14 17:48:56,2023-03-14 17:52:29,Planning teaching activities,BPM course,0 days 00:03:33
2023-03-14 17:53:26,2023-03-14 17:53:35,Planning teaching activities,BPM course,0 days 00:00:09
2023-03-14 17:53:35,2023-03-14 17:54:02,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:00:27
"2023-03-14 17:54:17,2023-03-14 17:59:21,""Preparing and providing teaching sessions for students, providing prospective students with information"",BPM course,0 days 00:05:04"
"2023-03-15 08:45:50,2023-03-15 08:45:56,""Preparing and providing teaching sessions for students, providing prospective students with information"",BPM course,0 days 00:00:06"
2023-03-15 08:46:17,2023-03-15 08:47:20,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:01:03
2023-03-15 08:52:24,2023-03-15 09:03:47,Conducting research,Active Window Tracking,0 days 00:11:23
2023-03-15 09:04:02,2023-03-15 09:17:25,Conducting research,Active Window Tracking,0 days 00:13:23
2023-03-15 09:17:37,2023-03-15 09:17:46,Conducting research,Active Window Tracking,0 days 00:00:09
2023-03-15 09:17:58,2023-03-15 09:40:07,Conducting research,Active Window Tracking,0 days 00:22:09
2023-03-15 09:53:37,2023-03-15 10:06:11,Conducting research,Active Window Tracking,0 days 00:12:34
2023-03-15 10:06:47,2023-03-15 10:12:20,Conducting research,Active Window Tracking,0 days 00:05:33
2023-03-15 10:12:23,2023-03-15 10:13:29,Conducting research,Active Window Tracking,0 days 00:01:06
2023-03-15 10:15:59,2023-03-15 10:21:26,Conducting research,Active Window Tracking,0 days 00:05:27
2023-03-15 10:21:35,2023-03-15 10:23:23,Conducting research,Active Window Tracking,0 days 00:01:48
2023-03-15 10:23:47,2023-03-15 10:24:56,Conducting research,Active Window Tracking,0 days 00:01:09
2023-03-15 10:28:51,2023-03-15 10:34:36,Conducting research,Active Window Tracking,0 days 00:05:45
2023-03-15 10:35:57,2023-03-15 10:39:09,Conducting research,Active Window Tracking,0 days 00:03:12
2023-03-15 10:41:27,2023-03-15 10:44:27,Conducting research,Active Window Tracking,0 days 00:03:00
2023-03-15 10:45:24,2023-03-15 10:50:00,Conducting research,Active Window Tracking,0 days 00:04:36
2023-03-15 14:40:10,2023-03-15 14:42:23,Drafting a research plan,OTP Workload Monitor,0 days 00:02:13
2023-03-15 14:43:05,2023-03-15 14:51:19,Drafting a research plan,OTP Workload Monitor,0 days 00:08:14
2023-03-15 14:52:20,2023-03-15 14:54:20,Drafting a research plan,OTP Workload Monitor,0 days 00:02:00
2023-03-15 14:54:38,2023-03-15 14:56:05,Drafting a research plan,OTP Workload Monitor,0 days 00:01:27
2023-03-15 14:56:23,2023-03-15 14:57:47,Drafting a research plan,OTP Workload Monitor,0 days 00:01:24
2023-03-15 14:58:30,2023-03-15 14:59:33,Drafting a research plan,OTP Workload Monitor,0 days 00:01:03
2023-03-15 14:59:54,2023-03-15 15:07:46,Drafting a research plan,OTP Workload Monitor,0 days 00:07:52
2023-03-15 15:08:28,2023-03-15 15:15:47,Drafting a research plan,OTP Workload Monitor,0 days 00:07:19
2023-03-15 15:16:47,2023-03-15 15:34:35,Drafting a research plan,OTP Workload Monitor,0 days 00:17:48
2023-03-15 15:37:29,2023-03-15 15:42:00,Drafting a research plan,OTP Workload Monitor,0 days 00:04:31
2023-03-15 15:42:03,2023-03-15 15:50:28,Drafting a research plan,OTP Workload Monitor,0 days 00:08:25
2023-03-15 15:51:40,2023-03-15 15:53:22,Drafting a research plan,OTP Workload Monitor,0 days 00:01:42
2023-03-15 16:00:56,2023-03-15 16:06:57,Drafting a research plan,OTP Workload Monitor,0 days 00:06:01
2023-03-15 16:17:59,2023-03-15 16:20:26,Drafting a research plan,OTP Workload Monitor,0 days 00:02:27
2023-03-15 16:21:20,2023-03-15 16:21:23,Drafting a research plan,OTP Workload Monitor,0 days 00:00:03
2023-03-15 16:21:44,2023-03-15 16:21:53,Drafting a research plan,OTP Workload Monitor,0 days 00:00:09
2023-03-15 16:26:24,2023-03-15 16:27:27,Drafting a research plan,OTP Workload Monitor,0 days 00:01:03
2023-03-15 16:35:07,2023-03-15 16:35:13,Drafting a research plan,OTP Workload Monitor,0 days 00:00:06
2023-03-15 16:36:34,2023-03-15 16:36:37,Drafting a research plan,OTP Workload Monitor,0 days 00:00:03
2023-03-15 16:36:37,2023-03-15 16:40:05,Drafting publications for recognised academic journals and trade journals,MethodsX paper Identifying Grand Challenges,0 days 00:03:28
2023-03-15 16:41:41,2023-03-15 16:42:41,Drafting publications for recognised academic journals and trade journals,MethodsX paper Identifying Grand Challenges,0 days 00:01:00
2023-03-15 17:16:36,2023-03-15 17:27:41,Drafting publications for recognised academic journals and trade journals,MethodsX paper Identifying Grand Challenges,0 days 00:11:05
2023-03-16 08:45:20,2023-03-16 08:46:11,Drafting publications for recognised academic journals and trade journals,MethodsX paper Identifying Grand Challenges,0 days 00:00:51
2023-03-16 08:50:24,2023-03-16 08:59:58,Communicating about events,BPM conference 2023,0 days 00:09:34
2023-03-16 09:00:46,2023-03-16 09:09:43,Organizing practical aspects for the group,AI Lab for Public Services,0 days 00:08:57
2023-03-16 09:11:40,2023-03-16 09:13:25,Organizing practical aspects for the group,AI Lab for Public Services,0 days 00:01:45
2023-03-16 09:14:10,2023-03-16 09:22:07,Organizing practical aspects for the group,AI Lab for Public Services,0 days 00:07:57
2023-03-16 09:23:37,2023-03-16 09:25:13,Organizing practical aspects for the group,AI Lab for Public Services,0 days 00:01:36
2023-03-16 09:26:52,2023-03-16 09:28:19,Organizing practical aspects for the group,AI Lab for Public Services,0 days 00:01:27
2023-03-16 09:28:37,2023-03-16 09:33:53,Organizing practical aspects for the group,AI Lab for Public Services,0 days 00:05:16
2023-03-16 09:34:17,2023-03-16 09:35:53,Organizing practical aspects for the group,AI Lab for Public Services,0 days 00:01:36
2023-03-16 09:36:02,2023-03-16 09:40:17,Organizing practical aspects for the group,AI Lab for Public Services,0 days 00:04:15
2023-03-16 09:40:20,2023-03-16 09:40:29,Organizing practical aspects for the group,AI Lab for Public Services,0 days 00:00:09
2023-03-16 09:46:00,2023-03-16 09:46:03,Organizing practical aspects for the group,AI Lab for Public Services,0 days 00:00:03
2023-03-16 09:49:51,2023-03-16 09:51:10,Organizing practical aspects for the group,AI Lab for Public Services,0 days 00:01:19
2023-03-16 09:51:37,2023-03-16 09:51:40,Organizing practical aspects for the group,AI Lab for Public Services,0 days 00:00:03
2023-03-16 09:51:46,2023-03-16 09:53:04,Organizing practical aspects for the group,AI Lab for Public Services,0 days 00:01:18
2023-03-16 09:53:07,2023-03-16 09:57:41,Organizing practical aspects for the group,AI Lab for Public Services,0 days 00:04:34
2023-03-16 09:57:53,2023-03-16 09:59:26,Organizing practical aspects for the group,AI Lab for Public Services,0 days 00:01:33
2023-03-16 09:59:26,2023-03-16 10:02:27,Periodically discussing research results with fellow researchers and supervisor or co-supervisor,Active Window Tracking,0 days 00:03:01
2023-03-16 10:02:36,2023-03-16 10:06:03,Organizing practical aspects for the group,AI Lab for Public Services,0 days 00:03:27
2023-03-16 10:06:21,2023-03-16 10:06:51,Organizing practical aspects for the group,AI Lab for Public Services,0 days 00:00:30
2023-03-16 10:08:43,2023-03-16 10:09:55,Communicating to students about the teaching material and assessment,BPM course,0 days 00:01:12
2023-03-16 10:10:34,2023-03-16 10:27:43,Periodically discussing research results with fellow researchers and supervisor or co-supervisor,Active Window Tracking,0 days 00:17:09
2023-03-16 10:27:52,2023-03-16 10:28:28,Communicating about events,Future of Work Lunch meeting,0 days 00:00:36
2023-03-16 10:31:47,2023-03-16 10:32:56,Conducting research,Active Window Tracking,0 days 00:01:09
2023-03-16 10:42:07,2023-03-16 10:59:12,Conducting research,Active Window Tracking,0 days 00:17:05
2023-03-16 10:59:21,2023-03-16 11:02:18,Periodically discussing research results with fellow researchers and supervisor or co-supervisor,Active Window Tracking,0 days 00:02:57
2023-03-16 11:07:00,2023-03-16 11:08:06,Periodically discussing research results with fellow researchers and supervisor or co-supervisor,Active Window Tracking,0 days 00:01:06
2023-03-16 11:09:18,2023-03-16 11:10:27,Periodically discussing research results with fellow researchers and supervisor or co-supervisor,Active Window Tracking,0 days 00:01:09
"2023-03-16 11:30:13,2023-03-16 11:35:10,""Preparing and providing teaching sessions for students, providing prospective students with information"",BPM course,0 days 00:04:57"
"2023-03-16 11:37:07,2023-03-16 11:38:16,""Preparing and providing teaching sessions for students, providing prospective students with information"",BPM course,0 days 00:01:09"
2023-03-16 11:38:16,2023-03-16 11:43:49,Periodically discussing research results with fellow researchers and supervisor or co-supervisor,Active Window Tracking,0 days 00:05:33
2023-03-16 11:44:25,2023-03-16 11:44:49,Periodically discussing research results with fellow researchers and supervisor or co-supervisor,Active Window Tracking,0 days 00:00:24
"2023-03-16 11:44:49,2023-03-16 11:46:52,""Preparing and providing teaching sessions for students, providing prospective students with information"",BPM course,0 days 00:02:03"
"2023-03-16 11:48:04,2023-03-16 11:48:37,""Preparing and providing teaching sessions for students, providing prospective students with information"",BPM course,0 days 00:00:33"
2023-03-16 11:49:52,2023-03-16 11:50:16,Conducting research,Active Window Tracking,0 days 00:00:24
"2023-03-16 11:50:16,2023-03-16 11:53:58,""Preparing and providing teaching sessions for students, providing prospective students with information"",BPM course,0 days 00:03:42"
2023-03-16 11:53:58,2023-03-16 11:54:01,Periodically discussing research results with fellow researchers and supervisor or co-supervisor,Active Window Tracking,0 days 00:00:03
"2023-03-16 11:54:01,2023-03-16 11:54:12,""Preparing and providing teaching sessions for students, providing prospective students with information"",BPM course,0 days 00:00:11"
"2023-03-16 13:11:18,2023-03-16 13:14:42,""Preparing and providing teaching sessions for students, providing prospective students with information"",BPM course,0 days 00:03:24"
"2023-03-16 13:14:56,2023-03-16 13:16:11,""Preparing and providing teaching sessions for students, providing prospective students with information"",BPM course,0 days 00:01:15"
"2023-03-16 13:16:26,2023-03-16 13:18:21,""Preparing and providing teaching sessions for students, providing prospective students with information"",BPM course,0 days 00:01:55"
"2023-03-16 13:18:30,2023-03-16 13:18:57,""Preparing and providing teaching sessions for students, providing prospective students with information"",BPM course,0 days 00:00:27"
"2023-03-16 13:20:27,2023-03-16 13:20:30,""Preparing and providing teaching sessions for students, providing prospective students with information"",BPM course,0 days 00:00:03"
"2023-03-16 13:26:58,2023-03-16 13:35:47,""Preparing and providing teaching sessions for students, providing prospective students with information"",BPM course,0 days 00:08:49"
"2023-03-16 13:35:50,2023-03-16 13:39:03,""Preparing and providing teaching sessions for students, providing prospective students with information"",BPM course,0 days 00:03:13"
"2023-03-16 13:40:03,2023-03-16 13:42:49,""Preparing and providing teaching sessions for students, providing prospective students with information"",BPM course,0 days 00:02:46"
"2023-03-16 13:43:34,2023-03-16 13:43:49,""Preparing and providing teaching sessions for students, providing prospective students with information"",BPM course,0 days 00:00:15"
"2023-03-16 13:45:43,2023-03-16 13:46:34,""Preparing and providing teaching sessions for students, providing prospective students with information"",BPM course,0 days 00:00:51"
"2023-03-16 13:46:40,2023-03-16 13:46:58,""Preparing and providing teaching sessions for students, providing prospective students with information"",BPM course,0 days 00:00:18"
"2023-03-16 13:47:10,2023-03-16 13:49:16,""Preparing and providing teaching sessions for students, providing prospective students with information"",BPM course,0 days 00:02:06"
"2023-03-16 14:03:51,2023-03-16 14:03:54,""Preparing and providing teaching sessions for students, providing prospective students with information"",BPM course,0 days 00:00:03"
2023-03-16 14:03:54,2023-03-16 14:05:30,Communicating to students about the teaching material and assessment,BPM course,0 days 00:01:36
2023-03-16 14:17:32,2023-03-16 14:17:35,Communicating to students about the teaching material and assessment,BPM course,0 days 00:00:03
"2023-03-16 14:17:35,2023-03-16 14:17:53,""Preparing and providing teaching sessions for students, providing prospective students with information"",BPM course,0 days 00:00:18"
2023-03-16 14:17:53,2023-03-16 14:20:03,Communicating to students about the teaching material and assessment,BPM course,0 days 00:02:10
2023-03-16 14:20:45,2023-03-16 14:27:01,Communicating to students about the teaching material and assessment,BPM course,0 days 00:06:16
"2023-03-16 14:51:51,2023-03-16 14:53:40,""Preparing and providing teaching sessions for students, providing prospective students with information"",BPM course,0 days 00:01:49"
"2023-03-16 14:54:46,2023-03-16 14:55:49,""Preparing and providing teaching sessions for students, providing prospective students with information"",BPM course,0 days 00:01:03"
"2023-03-16 14:56:43,2023-03-16 14:57:43,""Preparing and providing teaching sessions for students, providing prospective students with information"",BPM course,0 days 00:01:00"
"2023-03-16 14:58:19,2023-03-16 14:59:19,""Preparing and providing teaching sessions for students, providing prospective students with information"",BPM course,0 days 00:01:00"
"2023-03-16 15:00:23,2023-03-16 15:03:56,""Preparing and providing teaching sessions for students, providing prospective students with information"",BPM course,0 days 00:03:33"
"2023-03-16 15:05:51,2023-03-16 15:06:54,""Preparing and providing teaching sessions for students, providing prospective students with information"",BPM course,0 days 00:01:03"
"2023-03-16 15:07:57,2023-03-16 15:08:57,""Preparing and providing teaching sessions for students, providing prospective students with information"",BPM course,0 days 00:01:00"
"2023-03-16 15:09:00,2023-03-16 15:10:00,""Preparing and providing teaching sessions for students, providing prospective students with information"",BPM course,0 days 00:01:00"
"2023-03-16 15:10:06,2023-03-16 15:11:06,""Preparing and providing teaching sessions for students, providing prospective students with information"",BPM course,0 days 00:01:00"
"2023-03-16 15:12:52,2023-03-16 15:14:22,""Preparing and providing teaching sessions for students, providing prospective students with information"",BPM course,0 days 00:01:30"
"2023-03-16 15:19:33,2023-03-16 15:19:36,""Preparing and providing teaching sessions for students, providing prospective students with information"",BPM course,0 days 00:00:03"
"2023-03-16 15:28:28,2023-03-16 15:28:49,""Preparing and providing teaching sessions for students, providing prospective students with information"",BPM course,0 days 00:00:21"
2023-03-16 15:35:20,2023-03-16 15:36:05,Communicating to students about the teaching material and assessment,BPM course,0 days 00:00:45
2023-03-16 15:36:11,2023-03-16 15:36:39,Communicating to students about the teaching material and assessment,BPM course,0 days 00:00:28
2023-03-16 15:42:19,2023-03-16 15:45:04,Communicating to students about the teaching material and assessment,BPM course,0 days 00:02:45
"2023-03-16 15:45:16,2023-03-16 15:45:19,""Preparing and providing teaching sessions for students, providing prospective students with information"",BPM course,0 days 00:00:03"
2023-03-16 15:45:22,2023-03-16 15:45:37,Communicating to students about the teaching material and assessment,BPM course,0 days 00:00:15
