Begin,End,Activity,Case,Duration
"2023-03-07 12:04:38,2023-03-07 12:06:26,""Discussing the structure, provision and progress of the assignment with students"",***name31***,0 days 00:01:48"
"2023-03-07 12:10:33,2023-03-07 12:10:36,""Discussing the structure, provision and progress of the assignment with students"",***name31***,0 days 00:00:03"
2023-03-07 12:10:39,2023-03-07 12:10:42,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:00:03
2023-03-07 12:10:45,2023-03-07 12:10:54,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:00:09
2023-03-07 12:15:25,2023-03-07 12:27:06,Assessing the students assignments and submitting the assessment to the Board of Examiners,***name39***,0 days 00:11:41
2023-03-07 12:51:44,2023-03-07 12:57:42,Assessing the students assignments and submitting the assessment to the Board of Examiners,***name39***,0 days 00:05:58
"2023-03-07 12:59:37,2023-03-07 13:01:43,""Discussing the structure, provision and progress of the assignment with students"",***name46***,0 days 00:02:06"
"2023-03-07 13:02:16,2023-03-07 13:14:01,""Discussing the structure, provision and progress of the assignment with students"",***name46***,0 days 00:11:45"
"2023-03-07 13:14:10,2023-03-07 13:16:55,""Discussing the structure, provision and progress of the assignment with students"",***name46***,0 days 00:02:45"
"2023-03-07 13:18:44,2023-03-07 13:31:40,""Discussing the structure, provision and progress of the assignment with students"",***name46***,0 days 00:12:56"
2023-03-07 13:31:46,2023-03-07 13:32:31,Assessing the students assignments and submitting the assessment to the Board of Examiners,***name39***,0 days 00:00:45
"2023-03-07 13:32:31,2023-03-07 13:32:34,""Discussing the structure, provision and progress of the assignment with students"",***name46***,0 days 00:00:03"
"2023-03-07 13:32:55,2023-03-07 13:33:34,""Discussing the structure, provision and progress of the assignment with students"",***name46***,0 days 00:00:39"
2023-03-07 13:33:55,2023-03-07 13:35:16,Reviewing journal and conference papers,***doc7***,0 days 00:01:21
2023-03-07 13:35:19,2023-03-07 13:37:23,Reviewing journal and conference papers,***doc7***,0 days 00:02:04
2023-03-07 13:41:33,2023-03-07 13:42:03,Reviewing journal and conference papers,***doc7***,0 days 00:00:30
2023-03-07 13:42:15,2023-03-07 13:44:09,Reviewing journal and conference papers,***doc7***,0 days 00:01:54
2023-03-07 13:48:13,2023-03-07 13:52:44,Reviewing journal and conference papers,***doc7***,0 days 00:04:31
2023-03-07 13:52:56,2023-03-07 13:57:35,Reviewing journal and conference papers,***doc7***,0 days 00:04:39
2023-03-07 13:58:26,2023-03-07 13:59:48,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:01:22
2023-03-07 13:59:48,2023-03-07 14:00:06,Reviewing journal and conference papers,***doc7***,0 days 00:00:18
2023-03-07 14:01:27,2023-03-07 14:10:05,Reviewing journal and conference papers,***doc7***,0 days 00:08:38
2023-03-07 14:11:50,2023-03-07 14:12:08,Reviewing journal and conference papers,***doc7***,0 days 00:00:18
2023-03-07 14:12:23,2023-03-07 14:12:59,Reviewing journal and conference papers,***doc7***,0 days 00:00:36
2023-03-07 14:14:11,2023-03-07 14:21:28,Reviewing journal and conference papers,***doc7***,0 days 00:07:17
2023-03-07 14:21:46,2023-03-07 14:28:08,Reviewing journal and conference papers,***doc7***,0 days 00:06:22
2023-03-07 14:28:11,2023-03-07 14:29:32,Reviewing journal and conference papers,***doc7***,0 days 00:01:21
2023-03-07 14:29:35,2023-03-07 14:37:48,Reviewing journal and conference papers,***doc7***,0 days 00:08:13
2023-03-07 14:39:30,2023-03-07 14:44:55,Reviewing journal and conference papers,***doc7***,0 days 00:05:25
2023-03-07 14:59:22,2023-03-07 15:24:38,Drafting conference papers and giving lectures at conferences,BPM paper combination SWORD and motivational model,0 days 00:25:16
2023-03-07 15:24:50,2023-03-07 15:26:56,Drafting conference papers and giving lectures at conferences,BPM paper combination SWORD and motivational model,0 days 00:02:06
2023-03-07 15:26:59,2023-03-07 15:27:02,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:00:03
2023-03-07 15:27:02,2023-03-07 15:28:23,Drafting conference papers and giving lectures at conferences,BPM paper combination SWORD and motivational model,0 days 00:01:21
2023-03-07 15:31:27,2023-03-07 15:31:30,Drafting conference papers and giving lectures at conferences,BPM paper combination SWORD and motivational model,0 days 00:00:03
2023-03-07 15:31:30,2023-03-07 15:33:27,Organizing national and international travelling,RCIS conference 2023,0 days 00:01:57
2023-03-07 15:33:36,2023-03-07 15:36:13,Organizing national and international travelling,RCIS conference 2023,0 days 00:02:37
2023-03-07 15:36:25,2023-03-07 15:36:28,Organizing national and international travelling,RCIS conference 2023,0 days 00:00:03
2023-03-07 15:36:28,2023-03-07 15:45:05,Drafting conference papers and giving lectures at conferences,BPM paper combination SWORD and motivational model,0 days 00:08:37
